"서버 점검 중입니다.`n자세한 내용은 공식카페에서 확인해 주세요."	"Server Maintenance.`nPlease check the official cafe for details."
"일반공격`n범위보기"	"General Attack`nRange View"
"특수기술`n범위보기"	"Special Attack`nRange View"
{0} 클리어하시면 해금됩니다.	Clear {0} to unlock.
필요 전투력	Required Combat Power
스쿼드에 배치된 캐릭터가 없어 출격할 수 없습니다.	You can't sortie because there are no squad members.
스쿼드는 하나라도 있어야 합니다.	You must have at least 1 squad.
전투력 -	Combat Power -
잘못된 인자를 선택하셨습니다	You selected the wrong parameter
액티브 스킬이 2개가 아니다	There are not two active skills
{0} ENTER_STAGE 에러코드입니다.	ENTER_STAGE Error Code {0}
예	Yes
아니오	No
확인	OK 
21 스쿼드에 속한 바이오로이드는 강화/해체의 재료가 될 수 없습니다.	Bioroids from the 21 Squad cannot be used as materials.
레벨 순 정렬	Sort/Level
등급 순 정렬	Sort/Rank
뒤로	Back
사용 순 정렬	Sort/Usage
21 스쿼드	21 Squad
등록	Recruit
해제	Remove
탐색 중...	Exploring...
상세정보	More Info
캐릭터 교체	Character Replacement
회피율	EVA
적중률	ACC
방어력	DEF
스쿼드 전투력	Squad Power
공격력	ATK
우편	Mail
임무	Missions
순위	Rank
연구	Research
전투에서 대원을 잃지 마십시오.	Do not lose Units
전투에서 피해를 입지 마십시오.	Do not take damage
20턴내에 스테이지를 완료 하십시오.	Win within 20 turns
스테이지를 완료 하십시오	Complete the stage
임무중 새로 합류한 대원	New Recruits
새대원이 본부에 합류했습니다.	New recruit heading to your base.
합류	Joining
아군신호 포착 됨	Friendly signal received
신호정밀탐색중	Precision signal location
모든 스쿼드에	In all squads
"터치하여`n분대원`n추가"	"Tap to`nAdd`nSquad"
스쿼드의 1열에	1st squad column
스쿼드의 후열에	Back of the squad
진형	Form
지원 화력	Supporting Fire
오퍼레이터 강화	Operator Enhancement
"오퍼레이터`n보너스"	"?Operator`nBonus?"
"지원 장비`n교체`n"	"Support Gear`nReplacement"
닫기	Close
스쿼드 선택	Select Squad
편집	Edit
전투 시작	Start Battle
전략 화면	Strategy Screen
퇴각	Flee
승인	OK
자원 탐색시	Search for Resources
입장	Enter
자원 탐색 화면 보기	View Exploration Screen
자원 탐색	Exploration
전투력 화면 보기	Display Combat Power Screen
자원탐사대 배치	Resource Exploration
전투력	Combat Power
"중복 캐릭터를 스쿼드에`n등록할 수 없습니다."	"Duplicate Units`ncannot be added in the same squad."
대기	Waiting
미션 중단 여부를 확인합니다.	Confirm Mission Retreat
전투 중에는 퇴각할 수 없습니다.	You cannot retreat
미션 중단 시 기지로 귀환하며 미션은 실패하게 됩니다.	If you retreat, you will fail the mission return to your base.
닉네임을 입력하세요.	Choose a name.
중복된 닉네임 입니다.	That name is taken.
게임을 종료 하시겠습니까?	Do you want to exit?
{0} 스테이지 완료 후 자원탐사대를 배치하세요.	Deploy an exploration Unit after completing stage {0}
탐색 스쿼드 선택	Select Exploration Squad
출전 조건	Entry requirements
평균 레벨	Avg. Level
스쿼드 구성 인원	Squad Members
아이템 획득 확률 추가	Bonus Item Drop Chance
탐색 시작	Start Exploration
탐색 소요 시간	Exploration Time
이상	or more
스쿼드를 투입하세요	Present in squad
선택됨	Selected
자원 탐색 중	Searching for resources
레벨 부족	Level too low
탐색 취소	Cancel Exploration
자원 탐색 중	Searching for resources
인원수 부족	Insufficient Squad Members
"[c][ffcc00]자원 탐색[-][/c]을 중지할 경우, 자원을 획득할 수 없습니다.`n중지하시겠습니까?"	"If you stop your [c][ffcc00]Exploration[-][/c], you will not acquire resources.`nDo you want to stop?"
탐색 중지	Stop
계속 탐색	Continue
탐색 완료	Exploration Complete
계속 탐색을 진행하시겠습니까?	Continue Exploring?
능력치 보기	View Stats
능력치	Stats
치명타	CRIT
사정 거리	Range
공격 범위 : 십자	Pattern: Cross
행동력 소모	AP Cost
공격 범위	Range
사용 중	In Use
10레벨에 개방	Unlock at Lv10
20레벨에 개방	Unlock at Lv20
30레벨에 개방	Unlock at Lv30
40레벨에 개방	Unlock at Lv40
50레벨에 개방	Unlock at Lv50
60레벨에 개방	Unlock at Lv60
70레벨에 개방	Unlock at Lv70
80레벨에 개방	Unlock at Lv80
90레벨에 개방	Unlock at Lv90
해당 장비는 탐사 중이거나 자동 전투 중인 전투원이 착용하고 있는 장비입니다.	The Gear is equipped on a Unit who is exploring or Autobattling.
요구 전투력	Required Combat Power
"B급 장비`n모두 선택"	"Select All`nB-Class Gear"
결 정	Confirm
먼저 강화할 장비를 장착해 주세요.	Select the gear to be enhanced first.
전투원 제작	"Craft`nUnit"
전투원 강화	"Enhance`nUnit"
장비 제작	"Craft`nGear"
장비 강화	"Enhance`nGear"
강화 수치	Units Consumed
사용 자원	Resources Consumed
강화할 아이템이 없습니다.	There is no item to enhance.
재료 아이템이 없습니다.	There is no material.
장비부품	Gear Pieces
강화 불가! 자원 부족	Cannot perform enhancement due to a lack of resources
취소	Cancel
상점열기	Go To Store
제조 완료	Build Complete
제조 시작	Start Building
즉시 완성	Fast-Track
