토모와 친구들,Tomo And Friends
토모와 친구들!,Tomo And Friends!
토모와 친구들~,Tomo And Friends~
토모와 친구들?,Tomo And Friends?
망원 조준장치,Telescoping Sights
진압 개시,Commence Suppression
2회전 시작이야!,Round 2 Start!
상처 가르기,Open Wound
냥냥 펀치!,Meowmeow Punch!
호위 지정,Appoint Escort
덤벼덤벼!,Bring it on!
전원 돌격!,Everyone Charge!
편대 호위,Escort Squadron
곡예 비행,Acrobatic Flight
정원사의 본성,Gardener's True Nature
파이어레인,Fire Rain
기계 공학,Mechanical Engineering
살육 쾌감,Killing Ecstasy
위협 감지,Sense Danger
광란,Rampage
장갑 관통,Pierce Armor
장갑 깎기,Shear Armor
경계 태세,Alert Stance
점착탄,Cohesive Bullet
민감한 눈,Keen Eyes
벌크 업,Bulk Up
부식,Corrosion
강타,Smash
정밀 스캔,Precision Scan
견제 사격,Diversion Shot
오비탈 플레이팅,Orbital Plating
역장 전개,Force Field Deployment
대공 지휘,Anti-Air Command
대공 레이저,Anti-Air Laser
이터널 빔!,Eternal Beam
체포 사슬,Arrest Chain
검거 완료!,Arrest Complete
감전,Shocked
기사도,Chivalry
사냥감 몰이,Corner Prey
집중 사격,Focus Fire
연계 폭격,Coordinated Bombardment
정찰 비행,Air Recon
직격,Direct Hit
엄폐,Obscuration
가드 올리기,Guard Up
반격 태세,Counter Stance
위협 사격,Warning Shot
하얀 사신,White Death
핀 포인트 저격,Pinpoint Snipe
고고도 스캐닝,High-Altitude Scanning
강화 근력,Enhanced Muscles
SMG 연사,SMG Rapid Fire
P.G 활성화,P.G Activation
든든한 큰언니,Reliable Big Sis
중 기관포,Heavy Autocannon
럭키 샷,Lucky Shot
안도감,Relief
목표 견제,Target Check
저 녀석 잡아라!,Get 'em!
포탑 설치,Deploy Turret
도발 효과,Taunt Target
변형,Transform
장갑 전개,Armor Deployment
장갑 전개 해제,Disengage Armor Deployment
극도의 불편함,Extreme Discomfort
버스터 캐논,Buster Cannon
출력 강화,Power Boost
급속 충전,Quick Charge
리미터 해제,Limiter Release
과부하,Overload
