(\d+) 라운드 이내에 클리어	Clear within ` rounds
전투 불능 캐릭터 (\d+)명 이하로 클리어	Cleared with ` or fewer units incapacitated
바이오로이드를 (\d+)기 이상 편성해 클리어	Clear while sending ` or more Bioroids
바이오로이드를 (\d+)기 이하로 편성해 클리어	Clear while sending ` or fewer Bioroids
로봇을 (\d+)기 이상 편성해 클리어	Clear while sending ` or more robots
로봇을 (\d+)기 이하로 편성해 클리어	Clear while sending ` or fewer robots
경장형을 (\d+)기 이상 편성해 클리어	Clear while sending ` or more light units
경장형을 (\d+)기 이하로 편성해 클리어	Clear while sending ` or fewer light units
중장형을 (\d+)기 이상 편성해 클리어	Clear while sending ` or more heavy units
중장형을 (\d+)기 이하로 편성해 클리어	Clear while sending ` or fewer heavy units
기동형을 (\d+)기 이상 편성해 클리어	Clear while sending ` or more flying units
기동형을 (\d+)기 이하로 편성해 클리어	Clear while sending ` or fewer flying units
피격 횟수 (\d+)번 이하로 클리어	Clear taking fewer than ` hits
그리폰의 전탄 방출로 (\d+)기 이상의 적을 처치 후 클리어	Clear after eliminating ` more enemies with Griffon's Bomb Strike
(\d+)기 이상의 적을 동시에 처치한 상태로 클리어	Clear after killing ` enemies simultaneously
스쿼드를 (\d+)번 이상 교체하고 클리어	Clear after changing squads more than ` times
부품 (\d+)개가 들어있습니다\.	Contains ` Parts.
영양 (\d+)개가 들어있습니다\.	Contains ` Nutrients.
전력 (\d+)개가 들어있습니다\.	Contains ` Power.
부품 (\d+)개를 지급합니다\.	Given ` Parts.
영양 (\d+)개를 지급합니다\.	Given ` Nutrients.
전력 (\d+)개를 지급합니다\.	Given ` Power.
부품 (\d+)개를 획득합니다\.	Obtain ` Parts.
영양 (\d+)개를 획득합니다\.	Obtain ` Nutrients.
전력 (\d+)개를 획득합니다\.	Obtain ` Power.
부품 자원이 (\d+) 증가합니다\.	Parts increased by `.
영양 자원이 (\d+) 증가합니다\.	Nutrients increased by `.
전력 자원이 (\d+) 증가합니다\.	Power increased by `.
부품 (\d+) 지급	Get ` Parts
영양 (\d+) 지급	Get ` Nutrients
전력 (\d+) 지급	Get ` Power
자원 (\d+) 지급	Get ` of all resources
부품 (\d+) 컨테이너	Container of ` Parts
영양 (\d+) 컨테이너	Container of ` Nutrients
전력 (\d+) 컨테이너	Container of ` Power
부품 (\d+)개	` Parts
영양 (\d+)개	` Nutrients
전력 (\d+)개	` Power
자원 (\d+\+?\d*)개	` of all resources
모든 자원이 (\d+\+?\d*)개 들어있습니다\.	Contains ` of all resources.
모든 자원을 (\d+)개 지급합니다\.	Given ` of all resources.
일반 모듈 (\d+\+?\d*)개	` Basic Modules
일반 모듈 (\d+)개가 들어있습니다\.	Contains ` Basic Modules
일반 모듈 (\d+)개 박스	Box of ` Basic Modules
연구 등에 사용되는 표준 모듈 (\d+)개가 들어있는 박스입니다\.	A box containing ` standard modules that can be used for research, etc.
일반 로봇 부품 (\d+)개 박스	Box of ` Basic Robot Parts
양산형 파츠/무장 파츠/부스터 파츠/합금 장갑판/연산 제어 파츠가 (\d+)개씩 들어있습니다.	Contains: Mass-Production Parts/Weapon Parts/Booster Parts/Alloy Armor Plates/CPU Parts (` of each)
고급 모듈 (\d+\+?\d*)개	` Advanced Modules
고급 모듈 (\d+\+?\d*)개 \(한정 세일\)	` Advanced Modules (Limited Sale)
고급 모듈 (\d+)개가 들어있습니다\.	Contains ` Advanced Modules
특수 모듈 (\d+\+?\d*)개	` Special Modules
특수 모듈 (\d+)개가 들어있습니다\.	Contains ` Special Modules
전투 장비 코어 (\d+)개	` Battle Gear Cores
각 모듈이 (\d+\/\d+\/\d+)개씩 들어있는 팩입니다\.	Pack of ` Modules.
각 모듈이 (\d+\/\d+\/\d+)개씩 들어있는 박스입니다\.	Box of ` Modules.
각 모듈이 (\d+\/\d+\/\d+)개씩 들어있는 컨테이너입니다\.	Container of ` Modules.
시작형 파츠가 (\d+)개 들어있습니다\.	Contains ` starter parts
초합급 장갑판이 (\d+)개 들어있습니다\.	Contains ` super-alloy armor plates.
고출력 부스터 파츠가 (\d+)개 들어있습니다\.	Contains ` high-power booster parts.
중무장 파츠가 (\d+)개 들어있습니다\.	Contains ` heavy weapon parts.
고밀도 연산 제어 파츠가 (\d+)개 들어있습니다\.	Contains ` high-density CPU parts
참치캔 (\d+\+?\d*)개	` Tuna Cans
참치캔을 (\d+)개 획득합니다\.	Obtain ` Tuna Cans.
참치캔 (\d+\+?\d*)개를 획득합니다\.	Obtain ` Tuna Cans.
참치캔 (\d+)개를 지급합니다\.	Given ` Tuna Cans.
모든 일반 로봇 부품이 (\d+)개씩 들어있습니다\.	Contains ` of all basic robot parts.
모든 고급 로봇 부품이 (\d+)개씩 들어있습니다\.	Contains ` of all advanced robot parts.
합성 롤리팝이 (\d+)개 들어있습니다\.	Contains ` Synthetic Lollipops.
가공 초콜릿이 (\d+)개 들어있습니다\.	Contains ` Processed Chocolates.
수제 케이크가 (\d+)개 들어있습니다\.	Contains ` Handmade Cakes.
수제 케이크 (\d+)개	` Handmade Cakes
전투 일지가 (\d+)권 들어있습니다\.	Contains ` Battle Logs.
수상한 연산 회로 (\d+\+?\d*)개	` Strange Circuits
수상한 연산 회로 (\d+)개를 획득합니다\.	Obtain ` Strange Circuits.
수상한 연산 회로 (\d+)개를 지급합니다.	Given ` Strange Circuits.
전투 모듈 초기화 (\d+\+?\d*)개	` Battle Module Resets
