테스트,Test
테스트용 소모 아이템(캐릭터 부여 토큰),Test consumable (token applicable to chars)
2성 1레벨,2-Star Level 1
2성 2레벨,2-Star Level 2
2성 3레벨,2-Star Level 3
2성 4레벨,2-Star Level 4
2성 5레벨,2-Star Level 5
2성 6레벨,2-Star Level 6
2성 7레벨,2-Star Level 7
2성 8레벨,2-Star Level 8
2성 9레벨,2-Star Level 9
2성 10레벨,2-Star Level 10
2성 11레벨,2-Star Level 11
2성 12레벨,2-Star Level 12
2성 13레벨,2-Star Level 13
2성 14레벨,2-Star Level 14
2성 15레벨,2-Star Level 15
2성 16레벨,2-Star Level 16
2성 17레벨,2-Star Level 17
2성 18레벨,2-Star Level 18
2성 19레벨,2-Star Level 19
2성 20레벨,2-Star Level 20
2성 21레벨,2-Star Level 21
2성 22레벨,2-Star Level 22
2성 23레벨,2-Star Level 23
2성 24레벨,2-Star Level 24
2성 25레벨,2-Star Level 25
2성 26레벨,2-Star Level 26
2성 27레벨,2-Star Level 27
2성 28레벨,2-Star Level 28
2성 29레벨,2-Star Level 29
2성 30레벨,2-Star Level 30
2성 31레벨,2-Star Level 31
2성 32레벨,2-Star Level 32
2성 33레벨,2-Star Level 33
2성 34레벨,2-Star Level 34
2성 35레벨,2-Star Level 35
2성 36레벨,2-Star Level 36
2성 37레벨,2-Star Level 37
2성 38레벨,2-Star Level 38
2성 39레벨,2-Star Level 39
2성 40레벨,2-Star Level 40
2성 41레벨,2-Star Level 41
2성 42레벨,2-Star Level 42
2성 43레벨,2-Star Level 43
2성 44레벨,2-Star Level 44
2성 45레벨,2-Star Level 45
2성 46레벨,2-Star Level 46
2성 47레벨,2-Star Level 47
2성 48레벨,2-Star Level 48
2성 49레벨,2-Star Level 49
2성 50레벨,2-Star Level 50
2성 51레벨,2-Star Level 51
2성 52레벨,2-Star Level 52
2성 53레벨,2-Star Level 53
2성 54레벨,2-Star Level 54
2성 55레벨,2-Star Level 55
2성 56레벨,2-Star Level 56
2성 57레벨,2-Star Level 57
2성 58레벨,2-Star Level 58
2성 59레벨,2-Star Level 59
2성 60레벨,2-Star Level 60
2성 61레벨,2-Star Level 61
2성 62레벨,2-Star Level 62
